           1   4.000000       2.500000             102          62
 
 Time  U   V  P
   102.3737     -0.3543242     -0.4917645       3.618807    
   102.3787     -0.3551926     -0.4889444       3.618213    
   102.3837     -0.3560225     -0.4860916       3.617609    
   102.3887     -0.3568133     -0.4832059       3.616961    
   102.3937     -0.3575654     -0.4802859       3.616248    
   102.3987     -0.3582779     -0.4773340       3.615528    
   102.4037     -0.3589508     -0.4743502       3.614766    
   102.4087     -0.3595839     -0.4713334       3.613937    
   102.4137     -0.3601769     -0.4682860       3.613109    
   102.4187     -0.3607289     -0.4652099       3.612272    
   102.4237     -0.3612406     -0.4621015       3.611320    
   102.4287     -0.3617111     -0.4589652       3.610407    
   102.4337     -0.3621407     -0.4557993       3.609412    
   102.4387     -0.3625291     -0.4526044       3.608382    
   102.4437     -0.3628765     -0.4493811       3.607320    
   102.4487     -0.3631823     -0.4461317       3.606265    
   102.4537     -0.3634467     -0.4428546       3.605127    
   102.4586     -0.3636695     -0.4395520       3.604001    
   102.4636     -0.3638505     -0.4362244       3.602833    
   102.4686     -0.3639899     -0.4328702       3.601579    
   102.4736     -0.3640877     -0.4294920       3.600350    
   102.4786     -0.3641435     -0.4260916       3.599127    
   102.4836     -0.3641579     -0.4226646       3.597715    
   102.4886     -0.3641309     -0.4192168       3.596448    
   102.4936     -0.3640625     -0.4157441       3.594993    
   102.4986     -0.3639534     -0.4122491       3.593596    
   102.5036     -0.3638032     -0.4087341       3.592239    
   102.5086     -0.3636121     -0.4051981       3.590800    
   102.5136     -0.3633802     -0.4016405       3.589297    
   102.5186     -0.3631077     -0.3980649       3.587894    
   102.5236     -0.3627944     -0.3944681       3.586301    
   102.5286     -0.3624409     -0.3908548       3.584874    
   102.5336     -0.3620468     -0.3872239       3.583351    
   102.5386     -0.3616126     -0.3835737       3.581696    
   102.5436     -0.3611387     -0.3799075       3.580161    
   102.5486     -0.3606254     -0.3762248       3.578548    
   102.5536     -0.3600731     -0.3725270       3.576983    
   102.5586     -0.3594820     -0.3688134       3.575339    
   102.5636     -0.3588525     -0.3650847       3.573688    
   102.5686     -0.3581855     -0.3613424       3.572090    
